1000092795.jpg#2	(((0 1) (2 (3 4))) (5 (6 (2 (7 8)))) 9)
1000092795.jpg#1	((0 10) 11 (12 13) (5 (14 (15 16 17))) 9)
1000092795.jpg#3	((18 19) (2 (7 20 21 6)) (2 (7 22)) 9)
1000092795.jpg#0	(((0 10 23) (24 (25 26))) (27 (28 (29 30)) (31 (32 33 (2 (34 8))))) 9)
1000092795.jpg#4	((0 35) (36 (37 (38 39))) 9)
10002456.jpg#0	(((40 1) (2 (41 42))) (5 (43 (7 44 45 46))) 9)
10002456.jpg#1	(47 (27 (48 (49 (50 51))) (52 ((7 53) (54 55)))) 9)
10002456.jpg#2	((0 1) (56 (52 ((7 57) (58 (41 42))))) 9)
10002456.jpg#3	((59 1) (52 60) (54 (7 61 62)) 9)
10002456.jpg#4	((63 1) (52 (7 64 65)) 9)
1000268201.jpg#0	(((18 66) (2 (7 67 68))) (69 (70 50 ((7 71) (54 (72 (2 (73 74 75))))))) 9)
1000268201.jpg#1	(((18 76 77) (2 (7 67))) (68 (78 (79 (7 80 81)))) 9)
1000268201.jpg#2	((18 76 77) (70 (34 72) (82 (83 84))) 9)
1000268201.jpg#3	((18 76 77) (70 (79 (7 80 84))) 9)
1000268201.jpg#4	((18 77) (78 (79 (7 80 85))) 9)
1000344755.jpg#0	((86 (2 (7 20 21 87 88))) (69 ((6 (52 89)) 87 (90 (91 (7 92))))) 9)
1000344755.jpg#1	(((18 19) (2 (7 20 21))) (69 (6 (52 ((7 93) (94 (7 92)))))) 9)
1000344755.jpg#2	(((18 19) (52 (7 93))) (95 ((34 92) (54 (7 61 85)))) 9)
1000344755.jpg#3	(19 (2 (20 21 87 96)) (52 (93 94 97)))
1000344755.jpg#4	(((7 19) (52 (7 93))) (95 (7 92)))
